movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
1906,Kid Cannabis,2014,NR,105 minutes,Drama,,,John Stockwell,"Jonathan Brown, Kenny Wormald, Ron Perlman, Aaron Yoo, John C. McGinley, Corey Large, Bryce Hodgson, Lochlyn Munro, Kieran Large, Andrew Cavin, Merritt Patterson, Paul Johansson",John Stockwell,71%,64%
1907,The Bye Bye Man,2017,PG-13,96 minutes,Horror,,"$22,377,458",Stacy Title,"Cressida Bonas, Lucien Laviscount, Doug Jones, Carrie-Anne Moss, Faye Dunaway, Jenna Kanell, Erica Tremblay, Marisa Echeverria",Jonathan Penner,23%,23%
1908,American Promise,2013,NR,135 minutes,"Documentary, Special Interest",,"$94,010","Joe Brewster, Michele Stephenson","Oluwaseun Summers, Idris Brewster, Anthony Summers, Stacey O. Summers",,70%,73%
1909,The Fifth Estate,2013,R,124 minutes,"Documentary, Drama",,"$3,254,172",Bill Condon,"Benedict Cumberbatch, Dan Stevens (IV), Alicia Vikander, Daniel Brühl, Carice van Houten, Laura Linney, Anthony Mackie, David Thewlis","Josh Singer, Daniel Domscheit-Berg, David Leigh, Luke Harding",37%,36%
1910,Guardians of the Galaxy Vol. 2,2017,PG-13,137 minutes,"Action & Adventure, Comedy, Science Fiction & Fantasy",,"$389,804,217",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Bradley Cooper, Vin Diesel, Michael Rooker, Karen Gillan, Kurt Russell, Elizabeth Debicki, Pom Klementieff, Chris Sullivan (XII), Sean Gunn",James Gunn,83%,88%
1911,Riddick,2013,R,119 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$35,512,027",David Twohy,"Vin Diesel, Jordi Molla, Matt Nable, Karl Urban, Katee Sackhoff, Bokeem Woodbine, Dave Bautista, Conrad Pla, Raoul Trujillo, Nolan Gerard Funk, Danny Blanco-Hall, Noah Danby, Neil Napier, Andreas Apergis, Keri Hilson, Charlie Marie Dupont, Jan Gerste, Antoinette Kalaj, Vera Sokolovskaya",David Twohy,57%,56%
1912,Bastards,2013,NR,101 minutes,"Drama, Mystery & Suspense",,,Claire Denis,"Vincent Lindon, Chiara Mastroianni, Julie Bataille, Michel Subor, Lola Creton, Laurent Grevill, Gregoire Colin, Alex Descas, Florence Loiret-Caille, Hélène Fillières, Christophe Miossec, Eric Dupont-Moretti, Sharunas Bartas, Nicole Dogue, Claire Tran, Elise Lhomeau, Yann Antoine Bizette, Jeanne Disson, Edouard Laporte, S.A. Staples","Jean-Pol Fargeau, Claire Denis",67%,38%
1913,Fifty Shades of Black,2016,R,93 minutes,Comedy,,,Michael Tiddes,"Marlon Wayans, Kali Hawk, Mike Epps, Andrew Bachelor, Affion Crockett, Jane Seymour, Fred Willard, Florence Henderson, Karli Karissa, Alice Rietveld, Marissa D'Onofrio, Katelyn Causey, Brad Schmidt, Stephen Todt, Megan Salmans, Chaunte Wayans, Jenny Zigrino, Bud Galloway, K.T. Wiegman, James McMann, Vincent Oshana, Johnny Meyer, Jordan Craig, Thomas James Kepner, Joey Romaine, Ken McGuire, Damon Wayans","Marlon Wayans, Rick Alvarez",7%,19%
1914,Bridge of Spies,2015,PG-13,135 minutes,"Drama, Mystery & Suspense",,,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Noah Schnapp, Scott Shepherd, Sebastian Koch, Domenick Lombardozzi, Dakin Matthews, Peter McRobbie, Eve Hewson, Michael Gaston, Billy Magnussen, Marko Caka, Edward James Hyland, Austin Stowell, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Joshua Harto, Henny Russell, Rebekah Brockman, Jesse Plemons, John Rue, Jillian Lebling, Joel Brady, Michael Pemberton, Geoffrey Rude, Michael Kempen, Stephen Kunken, Jon Curry, Wes McGee, Jim Ferris, Lucia Ryan, Nolan Lyons, Hayley Feinstein, Andy Schneeflock, Victoria Leigh, Sawyer Barth, Ashlie Atkinson, Hayley Rawson, Laurie Dawn, James Lorinz, Patricia Squire, Mario Corry, Donavon Dietz, Le Chance DuRand, Mike Houston, Joe Starr, Hamilton Clancy, Jonathan Walker, Greg Nutcher, John Taylor, Tracy Howe, Steven Boyer, John Henry Cox, Mark Zak, Victor Schefe, Will Rogers (IV), Daniela Schulz, Moritz Berg, Emma Nazahn, Matthias Scherwenikas, Greta Galisch DePalma, Matilda Palma Galisch, Nadja Bobyleva, Kai Wido Meyer, Kristoffer Fuss, Thomas Hacikoglu, David Wilson Barnes, Joe Forbrich, Henning Bormann, Ketel Weber, Maik Rogge, Tim Morten Uhlenbrock, Mathias Gartner, Rafael Gareisen, Nico Ehrenteit, Radik Golovkov, Petra Marie Cammin, Lucy Dreznin, Michael Schenk, Mikhail Gorevoy, Wanja Götz, Stefan Langel, Vladimir Vilanov, Ivan Shvedov, Merab Ninidze, Konstantin Frolov, Steve Cirbus, Michael Kranz, Max Kidd, Frederic Heidorn, Nils Malten, Nina Gummich, Burghart Klaussner, Maximilian Mauff, Jon Donahue, Martin D. Dew","Matt Charman, Ethan Coen, Joel Coen, Matthew Charman",91%,87%
1915,7 Guardians of the Tomb,2018,NR,90 minutes,Action & Adventure,,,Kimble Rendall,"Bingbing Li, Kellan Lutz, Kelsey Grammer, Chun Wu, Stef Dawson, Yasmin Kassim","Kimble Rendall, Paul Staheli",0%,22%
