movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
54,The Wannabe,2015,R,90 minutes,Drama,,,Nick Sandow,"Vincent Piazza, Patricia Arquette, Michael Imperioli, Nick Sandow, John Buscemi, David Zayas, Vincenzo Amato, Domenick Lombardozzi, Mike Starr, Dario Cipani, Doug E. Doug, Larry Eudene, Stephanie Bertoni, Adriana DeMeo, Chris ""The Eagle"" Cama, Slaine Jenkins, Joseph Siravo, Angela Jeanneau, Neal Huff, Nicholas Belleas, Anna Kuchma, Mark Vincent, Daniel Sauli, Mario Macaluso, Lawrence Cioppa, Christine Cornell, Duccio Fabbri, Jimmy Martinex, Michael Gasparro, Kenneth McCoy, Jay Bulger, Mark Lotito, Stephen O'Reilly, Diane Martella, John McCabe, Arthur J. Nascarella, Anthony Pizzuto, Robert Rossi, Tuffy Questell, Jeanine Ramirez, Salvatore Rossi, Tony Ray Rossi, Stan Carp, Roland Sands, John Sialiano, John Ventimiglia, Enrico Tinelli, Eddie Lino",Nick Sandow,38%,36%
55,Road Hard,2015,NR,98 minutes,Comedy,,,"Adam Carolla, Kevin Hench","Adam Carolla, Diane Farr, Illeana Douglas, Mindy Robinson, David Koechner, Jay Mohr, Jim O'Heir, Larry Miller, Heather Paige Cohn, Vanessa Branch, Jonathan Klein, Windell Middlebrooks, Sarah Halford, Natalie Jordan Messing, Cynthy Wu, David Alan Grier, Emalee Burditt, Phil Rosenthal, Aria London, Jan Philip Browne, Jill Johnson, Alison M. Rosen, Robyn Cohen, Steve Hofstetter, Matthew Todd Shevin, Jerry Clarke, Pam Cook, Chris Reed, Jimmy Pardo, Cassie Oilar, Jackie Debatin, Stacy Barnhisel, Brooke Smith, Christopher J. Lee, Todd Sherry, Sam McMurray, Jenna Marbles, Dana Gould, David A. Cooper, Sachin Joab, Sean Stone, Howie Mandel, Shelley Dennis, Luke McClory, John Barak Crist, Bradley Williams","Adam Carolla, Kevin Hench",52%,76%
56,Steve McQueen: The Man & Le Mans,2015,NR,112 minutes,"Documentary, Television, Sports & Fitness",,,Gabriel Clarke,,,76%,66%
57,Neighbors,1981,R,95 minutes,Comedy,,,John G. Avildsen,"John Belushi, Dan Aykroyd, Cathy Moriarty, Kathryn Walker, Igors Gavon, Dru-Ann Chukron, Dru-Ann Chukran, Lauren Taylor, Tim Kazurinsky, Tino Insana, P.J. Brown, Henry Judd Baker, Lauren-Marie Taylor, Dale Two Eagle, Sherman G. Lloyd, Bert Kittel, J.B. Friend, Bernie Friedman, Edward S. Kotkin, Michael Manoogian",Larry Gelbart,63%,50%
58,Punching Henry,2017,NR,98 minutes,Comedy,,,Gregori Viens,"Henry Phillips, Sarah Silverman, Tig Notaro, Stephanie Allynne, Mark Cohen, Ellen Ratner, Mike Judge, Jim Jefferies, J.K. Simmons, Al Madrigal, Doug Stanhope, Clifton Collins Jr., Ashley Johnson, Myq Kaplan, Matt Kirshen, Michaela Watkins, Chris Fairbanks, Angela Trimbur, Brendon Walsh, Nikki Glaser","Henry Phillips, Gregori Viens",83%,63%
59,Draft Day,2014,PG-13,109 minutes,Drama,,"$21,105,891",Ivan Reitman,"Kevin Costner, Jennifer Garner, Denis Leary, Ellen Burstyn, Frank Langella, Chadwick Boseman, Terry Crews, Sean Combs, Josh Pence, Rosanna Arquette, Timothy C. Simons, David Ramsey, Wade Williams, Chi McBride, W. Earl Brown, Brad William Henke, Griffin Newman, Kevin Dunn, Patrick St. Esprit, Arian Foster, Christopher Cousins, Pat Healy, Pat Healy, Laura Steinel, Wallace Langham, Chris Berman, Dave Donaldson, Mel Kiper, Jon Gruden, Deion Sanders, Mike Mayock, Tony Rizzo, Aaron Goldhammer, Jordan Harris, Richard Littlejohn, Enré Laney, Bernard Canepari, Christopher Mele, Leilani Barrett, Michael Cipiti, Justin Zabor, Aswan Harris, Alex Mack, Tom Welling, John Lee, Sam Elliott, Russ Brandon, Marc Honan, Erin Drake, Quincy Dunn-Baker, Gregory D. Rush, Tom Headlee, Commissioner Roger Goodell, Rich Eisen, Patrick Breen, David Dunn, John Hefferman, Rebecca Haarlow, Ray Lewis, Stephen Hill, James Brewer, Ramses Barden, Zoltan Mesko, Demario Davis, Margot Danis, Emil Boccio, Leanora Haselrig, Jennifer McMahan, Sophie Guest, Brenda Adrine, Edwina Hadley, Ken Fiore, Joel Bussert, Frank Supovitz, Sammy Choi, Jeff Darlington, Mike Florio, Alex Marvez, Seth Wickersham, Jim Brown, Bernie Kosar, Renee Monique Brown, Phil Taylor, TJ Ward, D'Qwell Jackson, Aaron Hill, Michael Fisher","Scott Rothman, Rajiv Joseph",59%,65%
60,Richard Pryor: Omit The Logic,2013,R,90 minutes,"Documentary, Special Interest",,,Marina Zenovich,"Mel Brooks, Robin Williams, Whoopi Goldberg, George Lopez, Quincy Jones, Lily Tomlin, Jesse Jackson","P.G. Morgan, Chris A. Peterson, Marina Zenovich",80%,74%
61,ABCs of Death 2,2014,NR,125 minutes,Horror,,,"Ahron Keshales, Navot Papushado, Bill Plympton, Chris Nash, Dennison Ramalho, Erik Matti, Evan Katz, Hajime Ohata, Jen Soska, Sylvia Soska , Jerome Sable, Jim Hosking, Juan Martínez Moreno, Julian Barratt, Julian Gilbey, Alexandre Bustillo, Julien Maury, Kristina Buozyte, Bruno Samper, Alejandro Brugués, Lancelot Oduwa Imasuen, Larry Fessenden, Marvin Kren, Rob Boocheck, Robert Morgan, Rodney Ascher, Sôichi Umezawa, Steven Kostanski, Todd Rohal, Vincenzo Natali","Beatrice Dalle, Victoria Broom, Andy Nyman, Martina Garcia",,77%,38%
62,American Pastoral,2016,R,126 minutes,Drama,,"$541,457",Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert, Rupert Evans, David Strathairn, Uzo Aduba, Molly Parker, Valorie Curry, Hannah Nordberg, Julia Silverman, Mark Hildreth, Samantha Mathis, Ocean James, David Whalen, Corrie Danieley, David Case, Max Ivcic, Chuck Diamond, Tommy Lafitte, Brian Knoebel, Peter Gannon, Emily Peachey, Carter Ellis, Jennifer Vos, Nick Marzock, Idolo Zinobile, Davion Traylor, Chukky Okobi, Siovhan Christensen, Yannick Hogarth, Justin Lonesome, Steven Ravid, Ron Emanuel, Kathy Emanuel",John Romano,22%,29%
63,Blair Witch,2016,R,89 minutes,Horror,,"$20,747,013",Adam Wingard,"James Allen McCune, Callie Hernandez, Brandon Scott, Valorie Curry, Corbin Reid, Wes Robinson",Simon Barrett,35%,29%
64,The Fitzgerald Family Christmas,2012,PG-13,99 minutes,Drama,,,Edward Burns,"Kerry Bishé, Edward Burns, Heather Burns, Marsha Dietlein Bennett, Caitlin FitzGerald, Anita Gillette, Tom Guiry, Ed Lauter, Michael McGlone, Nick Sandow, Noah Emmerich, Connie Britton, Joyce Van Patten, Dara Coleman, Brian d'Arcy James, Malachy McCourt, Daniella Pineda, John Solo, Michele L. Harris, Kevin Kash",Edward Burns,64%,48%
65,The Tiger Hunter,2017,NR,94 minutes,"Comedy, Drama",,"$39,553",Lena Khan,"Danny Pudi, Jon Heder, Rizwan Manji, Karen David, Sam Page, Iqbal Theba, Parvesh Cheena, Michael McMillian, Kevin Pollak","Sameer Asad Gardezi, Lena Khan",76%,86%
66,The Ticket,2017,NR,97 minutes,Drama,,,Ido Fluk,"Dan Stevens (IV), Malin Akerman, Kerry Bishé, Oliver Platt, Skylar Gaertner, Liza J. Bennett, Peter Mark Kendall, Ekaterina Samsonov, Bettina Skye, Sal Rendino, Harry L. Seddon, Rich Lounello, Richard Lounello, Chella Ferrow, Ron Simons, Natalia Bain, Russell G. Jones, Andrew Polk, Edward C. Crawford, Dorothea Swiac, Lorenzo Beronilla, Zoe Hunter, Nicole Signore, Maryann Urbano, Laurent Rejto, Casey Jones","Ido Fluk, Sharon Mashihi",48%,28%
67,Level Five,2014,NR,106 minutes,"Documentary, Drama, Romance",,,Chris Marker,"Nagisa Oshima, Ju'nishi Ushiyama, Catherine Belkhodja, Kenji Tokitsu, Junichi Ushiyama, Kinjo Shigeaki",Chris Marker,100%,55%
68,SCORE: A Film Music Documentary,2017,NR,93 minutes,"Documentary, Musical & Performing Arts",,"$101,382",Matt Schrader,"Danny Elfman, Hans Zimmer, James Cameron, Quincy Jones, John Williams, Trent Reznor, Howard Shore, Randy Newman, Rachel Portman",Matt Schrader,93%,84%
69,Noah,2014,PG-13,137 minutes,"Classics, Drama",,"$101,160,529",Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Ray Winstone, Emma Watson, Anthony Hopkins, Logan Lerman, Douglas Booth, Leo McHugh Carroll, Nick Nolte, Kevin Durand, Dakota Goyo, Mark Margolis, Marton Csokas, Ariane Rinehart, Adam M. Griffith, Don Harvey, Sami Gayle, Sophie Nyweide, Ezra Barnes, Nurit Monacelli, Barry Sloane, Arnoddur Magnus Danks, Vera Fried, Vera Fried Danks, Thor Kjartansson, Gregg Bello, Mellie Maissa Rei Campos, Oliver Lee Saunders, Frank Langella","John Logan, Darren Aronofsky, Ari Handel",76%,41%
70,Suffragette,2015,PG-13,105 minutes,"Art House & International, Drama",,"$7,189,725",Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Meryl Streep, Brendan Gleeson, Anne-Marie Duff, Natalie Press, Ben Whishaw, Romola Garai, Grace Stottor, Geoff Bell, Amanda Lawrence, Shelley Longworth, Adam Michael Dodd, Sarah Finigan, Drew Edwards, Lorraine Stanley, Adam Nagaitis, Finbar Lynch, Samuel West, Nick Hendrix, Clive Wood",Abi Morgan,72%,68%
71,Snatched,2017,R,91 minutes,"Action & Adventure, Comedy",,"$45,850,343",Jonathan Levine,"Amy Schumer, Goldie Hawn, Joan Cusack, Ike Barinholtz, Wanda Sykes, Christopher Meloni, Randall Park, Tom Bateman, Oscar Jaenada, Bashir Salahuddin, Colin Quinn",Katie Dippold,36%,30%
72,Cartel Land,2015,R,98 minutes,Documentary,,,Matthew Heineman,"Dr. Jose Mireles, Tim ""Nailer"" Foley",,89%,81%
73,Septic Man,2014,R,87 minutes,"Drama, Horror",,,Jesse T. Cook,"Jason David Brown, Molly Dunsworth, Robert Maillet, Tim Burd, Stephen McHattie, Julian Richings, Nicole G. Leier",Tony Burgess,13%,11%
74,Synchronicity,2016,R,101 minutes,"Mystery & Suspense, Science Fiction & Fantasy",,"$4,267",Jacob Gentry,"Chad McKnight, Brianne Davis, AJ Bowen, Michael Ironside, Scott Poythress, Claire Bronson, Ashley Drayton, Derek Ryan Duke, Sergine Dumais, Sergine Dumais, Elle Sunkara, Erik Thirsk","Alex Orr, Jacob Gentry",46%,34%
75,Tomorrowland,2015,PG,107 minutes,Science Fiction & Fantasy,,"$71,526,443",Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Thomas Robinson, Tim McGraw, Judy Greer, Keegan-Michael Key, Chris Bauer, Pierce Gagnon, Matthew MacCaull, Matthew Kevin Anderson, Michael Giacchino, D. Harlan Cutshall, Shiloh Nelson, Xantha Radley, David Nykl, Paul McGillion, Pearce Visser, Gary Chalk, Dagan Nish, Yusuf Ahmed, Alex Barima, Jedidiah Goodacre, Kate Crutchlow, Priya Rajarthnam, Parm Soor, Leena Manro, Rick Pearce, Tom Butler, Michael Rowe (IX), Tim Perez, Patrick Sabongui, Romuald Hivert, Mathieu Lardier, Fraser Corbett, Darren Shahlavi, Aidan Gemme, Takayuki Oki, Natasha Davidson, Liliane Leila Juma, Kathryn Hahn","Brad Bird, Damon Lindelof",50%,49%
76,Aida's Secrets,2017,NR,95 minutes,Documentary,,"$96,104","Alon Schwarz, Shaul Schwarz",,"Alon Schwarz, Halil Efrat",100%,79%
77,Life,2017,R,103 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,"$30,180,466",Daniel Espinosa,"Jake Gyllenhaal, Ryan Reynolds, Rebecca Ferguson, Hiroyuki Sanada, Ariyon Bakare, Olga Dihovichnaya, Hiu Woong-Sin","Paul Wernick, Rhett Reese",67%,55%
78,Billion Dollar Brain,1967,NR,111 minutes,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense",,,Ken Russell,"Michael Caine, Karl Malden, Françoise Dorléac, Oscar Homolka, Ed Begley Sr., Guy Doleman, Vladek Sheybal, Milo Sperber, Mark Elwes, Paul Tamarin, Donald Sutherland, Janos Kurutz, Susan George, Alexei Jawdokimov, Iza Teller","Len Deighton, John P. McGrath",60%,42%
79,"What Happened, Miss Simone?",2015,NR,102 minutes,Documentary,,,Liz Garbus,Nina Simone,,87%,85%
80,Skiptrace,2016,PG-13,107 minutes,Action & Adventure,,,Renny Harlin,"Jackie Chan, Johnny Knoxville, Bingbing Fan, Eric Tsang, Eve Torres, Winston Chao, Youn Junghoon, Shi Shi, Michael Wong, Kuo Pin-chao, Zhang Lanxin, Wei Na, Charlie Rawes, Mikhail Gorevoy, Sara Forsberg, Sara Maria Forsberg, Jai Day, Temur Mamisashvili, Joel Adrian, Paul Philip Clark, Tomer Oz, Sabrina Qiu, Brian Adam Wong, Zhang Jingjing, Teresa Lee Fung, Sung Fong","BenDavid Grabinski, Jay Longino",37%,28%
81,Young at Heart,1954,PG,117 minutes,"Classics, Drama, Musical & Performing Arts, Romance",,,Gordon Douglas,"Doris Day, Frank Sinatra, Gig Young, Ethel Barrymore, Dorothy Malone, Robert Keith, Elisabeth Fraser, Alan Hale Jr., Lonny Chapman, Frank Ferguson","Julius J. Epstein, Lenore J. Coffee",86%,79%
82,London Has Fallen,2016,R,120 minutes,Action & Adventure,,,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman, Melissa Leo, Angela Bassett, Charlotte Riley, Radha Mitchell, Jackie Earle Haley, Shivani Ghai, Robert Forster, Alon Aboutboul, Sean O'Bryan, Waleed F. Zuaiter, Adel Bencherif, Mehdi Dehbi, Martin Petrushev, Owen Davis, Owen Davis Jr., Michael Wildman, Stacy Shane, Penny Downie, Clarkson Guy Williams, Patrick Kennedy, Colin Salmon, Deborah Grant, Andrew Pleavin, Nancy Baldwin, Madison Lowry, Nigel Whitmey, Julia Montgomery Brown, Tsuwayuki Saotome, Sadao Ueda, Alex Giannini, Elsa Mollien, Philip Delancy, Jean Baptiste Fillon, Kemi-Bo Jacobs, Harrison Simon, Simon Connolly, Scott Sparrow, Ginny Holder, Terence Beesley, Bryan Larkin, Terence Randall, Joe Fidler, Boyan Anev, Nikesh Patel, Julian Kostov, Lucy Newman-Williams","Creighton Rothenberger, Katrin Benedikt, Chad St. John, Christian Gudegast",25%,51%
83,Touched With Fire,2016,NR,106 minutes,Drama,,,Paul Dalio,"Katie Holmes, Luke Kirby, Bruce Altman, Griffin Dunne",Paul Dalio,68%,90%
84,Newness,2017,NR,112 minutes,Drama,,,Drake Doremus,"Nicholas Hoult, Laia Costa, Danny Huston, Matthew Gray Gubler, Albert Hammond Jr., Pom Klementieff, Jessica Henwick, Courtney Eaton",Ben York Jones,69%,62%
85,The Second Best Exotic Marigold Hotel,2015,PG,122 minutes,Comedy,,"$38,996,694",John Madden,"Judi Dench, Maggie Smith, Bill Nighy, Dev Patel, Celia Imrie, Ronald Pickup, Penelope Wilton, Richard Gere, Tamsin Greig, David Strathairn, Tina Desai, Diana Hardcastle, Lillete Dubey, Subhrajyoti Barat, Fiona Mollison, Zachary Coffin, Jayesh V. Kardak, Shazad Latif",Ol Parker,64%,59%
86,Too Late Blues,1961,NR,100 minutes,"Classics, Drama, Musical & Performing Arts",,,John Cassavetes,"Slim Gaillard, Bobby Darin, Stella Stevens, Everett Chambers, Nick Dennis, Cliff Carnell, Benny Carter, Seymour Cassel, Dan Stafford, Jimmy Joyce, Richard O. Chambers, John Cassavetes, Rupert Crosse, Vince Edwards, J. Alan Hopkins, Val Avery, James Joyce, Marilyn Clark, Slim Gaillard, Allyson Ames, June Wilkinson, Mario Gallo","John Cassavetes, Richard Carr",86%,74%
87,Lee Daniels' The Butler,2013,PG-13,132 minutes,Drama,,"$116,631,310",Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Cuba Gooding Jr., Terrence Howard, Alan Rickman, Jane Fonda, James Marsden, Minka Kelly, David Oyelowo, Alex Pettyfer, Robin Williams, Alex Manette, Mariah Carey, Lenny Kravitz, Liev Schreiber, Yaya DaCosta, Colman Domingo, Nelsan Ellis, Elijah Kelley, Clarence Williams III, Jesse Williams, David Banner, Michael Rainey Jr., Vanessa Redgrave, Lajessie Smith, Aml Ameen",Danny Strong,72%,78%
88,Human Capital,2015,NR,110 minutes,"Art House & International, Drama",,,Paolo Virzì,"Valeria Bruni Tedeschi, Fabrizio Bentivoglio, Luigi Lo Cascio, Valeria Golino, Fabrizio Gifuni, Vincent Nemeth, Bebo Storti, Gigio Alberti, Giovanni Anzaldo, Guglielmo Pinelli, Matilde Gioli","Paolo Virzì, Francesco Piccolo, Fabrizio Donvito, Francesco Bruni",82%,77%
89,My Life as a Zucchini,2017,PG-13,66 minutes,"Animation, Art House & International, Kids & Family",,"$279,912",Claude Barras,"Will Forte, Nick Offerman, Ellen Page, Amy Sedaris, Erick Abbate, Ness Krell, Romy Beckman, Barry Mitchell, Clara Young, Finn Robbins, Olivia Bucknor, Susanne Blakeslee",Céline Sciamma,98%,87%
90,"2 Autumns, 3 Winters",2014,NR,91 minutes,"Art House & International, Comedy, Drama",,,Sébastien Betbeder,"Vincent Macaigne, Maud Wyler, Bastien Bouillon, Audrey Bastien, Thomas Blanchard, Pauline Etienne, Olivier Chantreau, Eriko Takeda, Jean-Quentin Châtelain",Sébastien Betbeder,78%,50%
91,La La Land,2016,PG-13,128 minutes,"Comedy, Drama, Musical & Performing Arts",,"$151,058,124",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons",Damien Chazelle,92%,81%
92,Gator,1976,PG,115 minutes,Action & Adventure,,,Burt Reynolds,"Burt Reynolds, Jack Weston, Lauren Hutton, Jerry Reed, Alice Ghostley, Dub Taylor, Mike Douglas, Burton Gilliam, William Engesser, John Steadman, Lori Futch, Stephanie Burchfield, Bob Yeager, Dudley Remus, Alex Hawkins, Patrick Moody, John Nicholson, Jim Burk, Dick Ziker, Robert Urquhart, Sonny Shroyer, Paul Hansen, Robert Smith (XIV), Charles Tamburro, Norman Evans",William Norton,0%,44%
93,Doctor Strange,2016,PG-13,130 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$232,630,718",Scott Derrickson,"Benedict Cumberbatch, Tilda Swinton, Rachel McAdams, Chiwetel Ejiofor, Mads Mikkelsen, Michael Stuhlbarg, Benedict Wong, Juani Feliz, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker, Adam Pelta, Adam Pelta-Pauls, Sarah Malin, Eben Young, Kobna HoldbrookSmith, Kobna Holdbrook-Smith, Elizabeth Healey, Guillaume Faure, Daniel Dow, Ezra Khan, Kimberly Van Luin, Pat Kiernan","Thomas Dean Donnelly, Joshua Oppenheimer, Jon Spaihts, Scott Derrickson, C. Robert Cargill",90%,86%
94,The Last of the Unjust,2014,PG-13,220 minutes,"Documentary, Special Interest",,,Claude Lanzmann,Claude Lanzmann,Claude Lanzmann,96%,77%
95,Green Room,2016,R,94 minutes,Horror,,"$3,219,029",Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat, Joe Cole, Callum Turner, Mark Webber, Eric Edelstein, Macon Blair, Taylor Tunes, Kai Lennox, October Moore, David W. Thompson, Kasey Brown, Samuel Summer, Brent Werzner, Cody Burns, Mason Knight, Audrey Walker, Joseph Bertot, Michael Draper, Ed Squires, Colton Ruscheinsky, Jordan Yaroslavsky, Lj Klink, Jake Kasch, Jace Daniel, Jake Love, Kyle Love",Jeremy Saulnier,90%,75%
96,The Cold Lands,2014,NR,101 minutes,Drama,,,Tom Gilroy,"Silas Yelich, Lili Taylor, Peter Scanavino, John Ventimiglia, Maggie Low, Nick Sandow, Deb Monteith, Deb Moneith, Barry Kuhar, Tim Quinn, Liam Fitzgerald, Andrew Van Dusen, Peter Rufa, Jonathan Gatt, Trace Henderson",Tom Gilroy,64%,58%
97,Skin Trade,2015,R,96 minutes,Action & Adventure,,"$1,242",Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman, Michael Jai White, Celina Jade, Peter Weller","Gabriel Dowrick, Dolph Lundgren, Steven Elder",25%,29%
98,The Empty Hours,2014,NR,100 minutes,Drama,,,Aaron Fernandez,"Kristyan Ferrer, Adriana Paz, Eliseo Lara Martínez, Bartolo Campos, Rebeca Villacorte, Norma Pablo, Amaranta Abril, Sergio Lasgón, Mayra Batalla",Aaron Fernandez,83%,53%
99,The Taking Of Deborah Logan,2014,R,90 minutes,Horror,,,Adam Robitel,"Jill Larson, Michelle Ang, Ryan Cutrona, Anne Bedian, Brett Gentile, Anne Elizabeth Ramsay",,83%,48%
100,Eisenstein In Guanajuato,2016,NR,105 minutes,"Comedy, Romance",,"$20,852",Peter Greenaway,"Gustavo Galvan, Elmer Bäck, Luis Alberti, Emiliano Morales, Lisa Owen, Maya Zapata, Stelio Savante, Rasmus Slätis, Jakob Öhrman, Cristina Velasco Lozano, Anna Knaifel, Alain Vargas, Sara Juarez",Peter Greenaway,60%,50%
101,The End Of Time,2013,PG,114 minutes,"Documentary, Special Interest",,"$3,776",Peter Mettler,"Peter Mettler, George Mikenberg, Freya Blekman, Claire Timlin, Federico Antinori, Mitzi, Jack Thompson, Donald Weir, Richie Hawtin, Jacob Monte Longo Martinez, Nai Savoir Moran Martinez, Kinga Osz-Kemp, Andrew Kemp, Rajeev Agrawal, Julia Mettler",Peter Mettler,78%,40%
102,Animal,2014,NR,82 minutes,"Horror, Mystery & Suspense",,,Brett A. Simmons,"Joey Lauren Adams, Elizabeth Gillies, Paul Iacono, Jeremy Sumpter, Keke Palmer, Parker Young, Eve, Thorsten Kaye, Amaury Nolasco","Catherine Trillo, Thommy Hutson",50%,32%
103,Patrick: Evil Awakens,2014,NR,93 minutes,"Horror, Mystery & Suspense",,,Mark Hartley,"Sharni Vinson, Rachel Griffiths, Charles Dance, Jackson Gallagher, Peta Sergeant, Damon Gameau, Martin Crewes, Eliza Taylor, Simone Buchanan, Shane Nagle, Chris Fortuna, Rod Mullinar, Camilla Jackson, Maria Mercedes, Brendan Bacon, Carole-Ann Aylett",Justin King,83%,29%
104,Dolly Parton's Coat of Many Colors,2015,NR,180 minutes,Drama,,,Stephen Herek,"Alyvia Alyn Lind, Jennifer Nettles, Gerald McRaney, Stella Parton, Rick Schroder, Carson Meyer, Hannah Nordberg, Mary Lane Haskell, Parker Sack, Farrah Mackenzie",Pamela K. Long,78%,68%
105,Unexpected,2015,R,90 minutes,"Comedy, Drama",,,Kris Swanberg,"Anders Holm, Cobie Smulders, Gail Bean, Elizabeth McGovern, DuShon Monique Brown, Heidi Johanningmeier, Aaron Nelson, Tyla Abercrumbie, Shonique Watkins, Takiyah Dixon, Kevin Anderson, Audrey Morgan, Joshlyn Lomax, Preston Tate Jr., Jasmine Purnell, Taylor Witherspoon, Aaliayah Romer, Khyla Davis, Marshelle Kellum, Jonathan Kitt, Rengin Altay, Michael Geartner, Sean Kirkpatrick, Bilal Dardai, Robyn Coffin, Tim Mason, Allison Latta, Carin Silkaitis, Beatriz Jamaica, Melissa Gonzalez, Basel Ajaj, Natalie Sullivan, Sharon Wentz, Joan Kohn, Dwayne Taylor, Hunter Hughbanks, Ada Freer","Kris Swanberg, Megan Mercier",67%,44%
106,My Entire High School Sinking Into the Sea,2017,PG-13,75 minutes,"Animation, Comedy, Drama",,"$65,250",Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell",Dash Shaw,83%,64%
107,The Brainwashing of My Dad,2016,NR,95 minutes,Documentary,,,Jen Senko,"Matthew Modine, Jen Senko, Jen Senko, David Brock, Frank Senko, Eileen Senko, Gabriel Sherman, Walter Senko, Reese Schonfeld, Joseph A. DiPasquale, Rick Perlstein, George Lakoff, Greg Moores, Noam Chomsky, Claire Conner, Thom Hartmann, Steve Rendall, Edward S. Herman, Eric Boehlert, Frank Luntz, Jeff Cohen, Thomas Medvetz, Carol Wallin, Matthew Saccaro, Kathleen Taylor, John Montgomery, Ph. D., Frank Levatino, Jonathan Schroeder, Ph. D., Johnny E. Williams, David Ninehouser, Erin Ninehouser","Jen Senko, Melodie Bryant, Fiore Derosa, Kala Mandrake",58%,81%
