,movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
782,782,wild card,2015,R,92 minutes,"Action & Adventure, Drama, Mystery & Suspense",,,Simon West,"Jason Statham, Sofía Vergara, Milo Ventimiglia, Stanley Tucci, Michael Angarano, Anne Heche, Hope Davis, Dominik García-Lorido, Max Casella, Jason Alexander, Chris Browning, Matthew J. Willig, François Vincentelli, Davenia McFadden, Michael Papajohn, Jean Claude Leuyer, Greice Santo, Freddie Poole, Nick Epper, Lara Grice, Darcy Allen, Shanna Forrestall, Boyana Balta, Lee Perkins, Stephanie Jordan, Allison Wirges, Kyle Clements, Billy Tilk, Pete Antico, Travis Merindino, Clayton Barber",William Goldman,31%,29%
783,783,"two days, one night",2014,PG-13,95 minutes,Drama,,,"Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Catherine Salée, Pili Groyne, Simon Caudry, Baptiste Sornin, Christelle Delbrouck, Lara Persain, Alain Eloy, Anette Niro, Rania Mellouli, Myriem Akeddiou, Timur Magomedgadzhiev, Fabienne Sciascia","Luc Dardenne, Jean-Pierre Dardenne",97%,76%
784,784,fort mccoy,2014,R,101 minutes,Drama,,"$78,196","Michael Worth, Kate Connor","Eric Stoltz, Kate Connor, Lyndsy Fonseca, Andy Hirsch, Camryn Manheim, Brendan Fehr, Seymour Cassel, Johnny Pacar, Matthew Lawrence, Mark Metcalf",Kate Connor,50%,60%
785,785,million dollar arm,2014,PG,124 minutes,"Comedy, Drama",,,Craig Gillespie,"Jon Hamm, Aasif Mandvi, Madhur Mittal, Bill Paxton, Suraj Sharma, Lake Bell, Alan Arkin, Pitobash, Darshan Jariwala, Gregory Alan Williams, Allyn Rachel, Tzi Ma, Rey Maualuga, Bar Paly, Jaspaul Sandhu, Kuldeep Rajput, Vivek Pandkar, Pawan Chopra, Ruturaj Shinde, Zaki Tayeb Ali Kazi, Chirag Sethi, Cryus Sahukar, Lata Shukla, Harrish Chandra, Brooke Jaye Taylor, Brett Zimmerman, Andrew Benator, Joshua Mikel, Hunter Burke, Suehyla El-Attar, Ravi Naidu, Al Sapienza, Mike Pniewski, Shane Callahan, Jason Vail, Yashwant Joshi, Anand Kumar, Autumn Dial, Gabriela Matus Lopez, Chirag Sonawane, Dev Modi, Anthony Renaud, Anthony P. Voorhees, Adam Benz, Steve Levy, Karl Ravech, Curt Schilling, Barry Larkin",Tom McCarthy,64%,68%
786,786,ddongpari,2009,NR,130 minutes,"Action & Adventure, Art House & International, Drama",,,"Ik-Joon Yang, Yang Ik-Joon","Yang Ik-Joon, Kim Kkot-bi, Lee Hwan, Ik-Joon Yang, Park Jeong-soon, Kkobbi Kim, Seung-yeon Lee, Kim Hye-Soo, Man-shik Jeong, Lee Jin-sook, Choi Yong-min, Kil Hae-yeon, Kim Sang-won-I, Seon-ae Ji, Man-shik Jeong, Yoon Seung-hoon, Oh Jee-hye, Hong Seung-il, In-gi Jeong",Yang Ik-Joon,85%,83%
787,787,stink!,2015,NR,91 minutes,Documentary,,,"Jon J. Whelan, Jon Whelan",NoStar,"Brian Gunnar Cole, Jon J. Whelan, Bryan Gunnar Cole, Jon Whelan",89%,62%
788,788,investigation of a citizen above suspicion,2012,R,115 minutes,"Art House & International, Drama",,,Elio Petri,"Gian Maria Volonté, Florinda Bolkan, Salvo Randone, Gianni Santuccio, Arturo Dominici, Orazio Orlando, Massimo Foschi, Sergio Tramonti, Aldo Rendine, Aleka Paizi, Vittorio Duse, Pino Patti, Giuseppe Licastro, Filippo Degara, Fulvio Gramaldi, Ugo Adinolfi, Giacomo Bellini, Giuseppe Terranova, Vincenzo Falanga, Roberto Bonanni, Guido Buzzelli, Gino Usai, Franco Marletta","Elio Petri, Ugo Pirro",100%,96%
789,789,the belko experiment,2017,R,82 minutes,"Action & Adventure, Horror, Mystery & Suspense",,"$10,164,675",Greg McLean,"John Gallagher Jr., Adria Arjona, Tony Goldwyn, Michael Rooker, Sean Gunn, John C. McGinley, Melonie Diaz, Josh Brener, Owain Yeoman, Brent Sexton",James Gunn,52%,40%
790,790,contracted: phase ii,2015,NR,79 minutes,"Drama, Horror, Mystery & Suspense",,,Josh Forbes,"Matt Mercer, Peter Cilella, Marianna Palka, Morgan Peter Brown, Laurel Vail, Alice Macdonald, Anna Lore, Suzanne Voss, Adam Robitel, Najarra Townsend, John Ennis, Charley Koontz, Richard Riehle, Ruben Pla, Caroline Williams, Joanna Sotomura, Justin Benson, Aaron Moorhead, Dayna Schaaf, Josh Edmondson, Clay Keller, Ossey James, Jeffrey Reddick, Ben Wise, Ben Peyser, Ryan Ridley, Noah Dorsey, Zachary Grashin, Charity Daw, Whitney Moore, Nic Birdsall, Avi Hollander, Rafi Margoles, Jordan Fishpitz, Sam Landau, Roderick Griffin, Josh Fadem, Elisha Yaffe, Jennifer Ceci, Jennifer Cecil",Craig Walendziak,38%,14%
791,791,vinyl,2012,NR,85 minutes,Comedy,,,Sara Sugarman,"Phil Daniels, Jamie Blackley, Perry Benson, Keith Allen, Tracy Whitwell, Chris Turner, Julia Ford","Sara Sugarman, Jim Cooper",60%,36%
